words,ocurrences
panic,317
fear,1649
sad,1105
mental,1124
mind,882
sorry,1016
shame,727
hate,736
hell,841
bad,2244
feel,1925
feeling,587
shit,1788
worst,1423
worse,1360
blame,1123
lonely,55
chaos,375
mad,264
ruined,111
anxiety,469
stress,612
stressed,120
phobia,4
shame,727
hurt,397
disorder,50
loneliness,65
turmoil,63
anger,187
horror,101
rage,82
fate,53
nervous,71
restless,7
depression,465
grief,135
worry,641
worried,894
angst,3
depressed,47
suicide,161
suffer,390
suffering,733
uncertainty,344
uneasy,10
sadness,37
afraid,399
alone,696
suicidal,14
mood,87
tension,51
anxious,131
desperate,275
dismal,18
exhausted,76
insecure,70
distress,122
distressed,25
frustration,61
disgusting,427
boredom,21
bored,131
insane,299
stupidity,219
bullshit,575
uncertain,253
displeased,4
uncomfortable,66
melancholy,2
overwhelmed,206
pessimistic,17
unhappy,21
upset,128
outrage,163
ass,572
damn,684
covidiot,37
terrify,7
terrified,69
terrifying,97
distrust,28
scare,203
scared,439
scaring,31
dread,25
failed,1227
failed,1227
failure,1038
fuck,2252
fucking,1494
miserable,40
regret,193
shock,280
shocked,171
negligence,175
betrayed,19
cry,204
crying,173
idiot,478
idiots,389
selfish,179
upheaval,24
mess,355
crisis,7894
horrible,295
violence,1427
abuse,390
rape,109
stupid,1017
