words,ocurrences
panic,169
fear,663
sad,429
mental,690
mind,383
sorry,324
shame,380
hate,310
hell,294
bad,784
feel,735
feeling,264
shit,522
worst,577
worse,575
blame,360
lonely,9
chaos,118
mad,75
ruined,40
anxiety,199
stress,229
stressed,45
phobia,22
shame,380
hurt,112
disorder,126
loneliness,18
turmoil,16
anger,94
horror,43
rage,44
fate,19
nervous,27
restless,5
depression,137
grief,106
worry,259
worried,246
angst,3
depressed,32
suicide,80
suffer,171
suffering,674
uncertainty,73
uneasy,6
sadness,23
afraid,144
alone,361
suicidal,9
mood,27
tension,17
anxious,39
desperate,122
dismal,4
exhausted,27
insecure,10
distress,71
distressed,7
frustration,24
disgusting,100
boredom,4
bored,35
insane,80
stupidity,134
bullshit,167
uncertain,45
displeased,0
uncomfortable,19
melancholy,0
overwhelmed,90
pessimistic,4
unhappy,10
upset,59
outrage,27
ass,142
damn,259
covidiot,25
terrify,0
terrified,27
terrifying,24
distrust,19
scare,75
scared,135
scaring,12
dread,3
failed,474
failed,474
failure,337
fuck,446
fucking,396
miserable,60
regret,31
shock,37
shocked,89
negligence,80
betrayed,17
cry,79
crying,85
idiot,174
idiots,170
selfish,104
upheaval,11
mess,107
crisis,2718
horrible,87
violence,260
abuse,111
rape,40
stupid,446
