word,count
covid,75159
19,66099
covid19,42387
vaccine,23857
coronavirus,21426
india,13488
cases,12938
people,12920
amp,12709
new,12088
get,10801
pandemic,10571
may,9342
health,8393
one,8204
vaccines,7765
us,7593
vaccination,7281
deaths,6295
news,6038
year,6015
help,5795
vaccinated,5214
world,5075
2021,5055
via,4924
please,4885
hospital,4846
time,4694
like,4593
need,4570
first,4318
day,4292
today,4237
government,4229
state,4010
still,3960
virus,3892
due,3812
many,3752
shot,3748
country,3668
available,3564
pfizer,3559
take,3546
best,3541
know,3427
china,3382
says,3301
would,3287
last,3284
good,3254
000,3214
30,3195
old,3184
oxygen,3167
patients,3161
support,3159
free,3064
also,3061
work,3027
even,2955
wave,2943
use,2927
death,2920
public,2913
said,2904
citizens,2904
see,2891
positive,2857
lockdown,2792
full,2786
spread,2757
could,2729
crisis,2718
make,2699
emergency,2698
thank,2686
number,2658
go,2650
safe,2633
waiting,2627
woman,2620
data,2615
read,2603
well,2599
home,2592
killed,2585
care,2572
front,2538
week,2514
days,2513
lie,2510
second,2494
friday,2492
medical,2479
getting,2477
back,2377
reports,2342
latest,2324
delhi,2303
whatshappeninginmyanmar,2299
million,2288
going,2282
uk,2270
10,2265
want,2259
accidentally,2231
stay,2222
daily,2218
doses,2215
sac,2212
terrorize,2202
let,2192
total,2158
restrictions,2158
approval,2156
since,2155
countries,2141
update,2133
children,2116
govt,2099
05,2095
states,2095
reported,2086
fight,2074
test,2073
say,2073
great,2066
canada,2065
re,2050
07,2047
mask,2037
dr,2035
report,2025
way,2024
dose,2011
every,1995
keep,1989
right,1980
global,1980
life,1974
got,1972
risk,1971
live,1959
indian,1951
two,1950
covid19india,1932
covidsecondwave,1926
think,1923
made,1905
much,1900
situation,1895
everyone,1895
18,1883
died,1879
pm,1864
family,1863
corona,1859
times,1850
high,1842
12,1824
travel,1817
media,1816
testing,1816
fda,1815
variant,1798
must,1795
case,1795
stop,1794
15,1793
24,1785
2020,1776
study,1760
money,1758
cdc,1755
workers,1752
long,1747
modi,1746
hope,1742
god,1727
relief,1717
check,1716
rate,1709
ve,1700
surge,1690
business,1687
across,1668
information,1664
next,1655
thanks,1647
sign,1609
community,1606
lives,1592
around,1590
come,1583
per,1533
really,1529
another,1528
end,1527
sinopharm,1506
big,1504
county,1501
open,1497
hospitals,1497
months,1488
response,1486
social,1468
trump,1455
post,1445
chinese,1444
impact,1442
research,1442
tests,1436
14,1431
minister,1426
call,1425
find,1424
continue,1415
give,1402
infections,1396
infection,1393
better,1393
president,1384
team,1380
