word,count
the,86481
to,51686
of,44045
covid,41361
in,39850
19,35879
and,34996
covid19,26175
is,24397
for,24070
on,18211
this,16620
are,15574
coronavirus,14749
you,14362
that,14134
it,14132
with,11833
we,11612
at,11554
vaccine,11343
from,10290
health,9951
have,9728
by,9553
has,9547
be,9449
as,9048
not,9036
our,8798
cases,8658
2021,8515
new,8312
amp,7927
was,7767
people,7761
no,7676
they,7661
day,7245
whatshappeninginmyanmar,6973
all,6972
june26coup,6885
06,6799
more,6499
will,6380
who,6287
but,6215
capacity,6010
your,5916
get,5881
about,5724
pandemic,5665
what,5601
he,5536
can,5475
vaccinated,5438
up,5420
if,5316
so,5239
vaccination,5179
available,5068
genocidalmilitary,5046
delta,4705
or,4645
now,4498
after,4373
been,4367
variant,4353
deaths,4338
18,4331
vaccines,4290
their,4251
an,4226
how,4174
out,4142
26,4133
lockdown,4062
public,3938
his,3921
just,3872
do,3802
news,3710
care,3685
stop,3643
there,3604
my,3545
us,3531
one,3499
state,3490
were,3488
india,3414
today,3410
age,3328
sac,3187
than,3177
45,3155
over,3112
june,3104
like,3019
world,2986
limit,2977
min,2958
pune,2953
dates,2937
virus,2935
cowin,2931
human,2918
pin,2888
had,2886
dose1,2879
dose2,2877
vaccinepune,2877
covishield,2839
plan,2833
should,2802
don,2793
myanmar,2780
here,2773
via,2717
when,2683
communities,2671
rights,2643
them,2627
died,2600
why,2594
devastating,2540
first,2538
impacts,2528
please,2526
know,2515
still,2514
against,2486
resulting,2474
losing,2461
time,2421
positive,2391
ncaa,2388
unlawful,2383
abduction,2382
releasethedetainees,2374
only,2364
due,2312
re,2287
family,2225
government,2212
other,2170
need,2163
many,2154
some,2141
even,2123
because,2103
would,2099
during,2097
hospital,2093
two,2079
uk,2074
year,2069
last,2042
27,2033
sydney,2027
death,2004
go,1977
which,1973
said,1967
country,1935
these,1903
into,1884
me,1859
28,1852
being,1847
25,1834
down,1801
its,1798
without,1788
sign,1775
week,1758
see,1751
read,1746
take,1743
did,1739
australia,1739
those,1732
nc,1726
got,1704
could,1699
china,1657
help,1656
may,1654
000,1652
most,1644
wave,1634
since,1631
doses,1610
daily,1609
days,1604
mask,1599
near,1596
going,1596
appointments,1596
also,1593
let,1591
test,1587
any,1562
fully,1558
says,1555
restrictions,1546
spread,1546
good,1528
well,1497
before,1451
back,1450
reports,1436
very,1436
ve,1435
where,1435
cvs,1432
data,1421
latest,1416
make,1416
pmcpvaccines,1394
work,1384
case,1382
say,1382
history,1378
body,1369
24,1368
00,1368
way,1367
dose,1364
safe,1349
great,1347
trump,1346
risk,1343
right,1338
saturday,1332
think,1326
life,1323
tested,1322
live,1307
update,1304
too,1289
father,1287
again,1284
far,1280
total,1278
getting,1277
tests,1275
outbreak,1266
10,1264
rules,1264
reported,1263
every,1260
then,1258
come,1257
nsw,1245
while,1235
abducted,1231
masks,1222
am,1221
around,1220
everyone,1205
2020,1200
testing,1196
stay,1196
team,1196
another,1192
much,1180
12,1178
want,1175
keep,1171
home,1160
patients,1155
years,1153
medical,1153
30,1152
never,1149
free,1146
20,1138
hancock,1137
number,1132
made,1131
tsp,1123
find,1119
under,1119
players,1112
infections,1110
study,1100
really,1097
countries,1097
50,1095
report,1094
part,1092
already,1084
rate,1076
million,1074
states,1067
city,1067
hours,1065
military,1059
deltavariant,1056
long,1031
cremated,1029
unvaccinated,1027
pfizer,1018
must,1011
second,1010
heart,1009
children,1000
lives,998
informing,993
minister,991
breaking,990
travel,989
dr,986
corona,985
close,982
killed,979
terrorists,977
through,967
yet,967
end,964
kids,961
hard,958
21,957
same,947
better,943
done,932
does,930
times,929
play,929
100,924
together,908
social,903
her,902
wuhan,900
15,893
follow,893
give,891
thanks,884
cdc,881
media,877
joke,877
kale,876
off,876
share,872
lab,871
tech,871
global,865
found,864
jab,861
doesn,858
support,856
disease,856
open,852
months,851
next,845
pa,844
variants,843
covidvaccine,841
business,838
south,829
11,829
chinese,828
such,827
community,827
she,826
ccp,823
continue,821
use,820
enough,818
bad,818
infected,817
protocols,814
among,813
college,812
administered,810
full,810
check,807
society,799
didn,792
48,792
until,790
photo,788
canada,784
working,783
hope,782
high,781
big,780
infection,780
confirmed,774
propaganda,772
across,771
thing,769
look,767
best,765
coming,765
ago,764
vaccinations,762
population,761
plus,755
per,755
van,752
top,751
feel,747
away,747
man,744
rise,744
matthancock,744
claimed,741
game,738
science,737
29,737
research,736
safety,734
money,729
junta,728
response,726
tha,726
matt,725
numbers,723
africa,720
doing,719
usa,716
institute,714
july,713
salai,713
series,712
pharma,712
ll,711
won,711
cung,711
wear,709
govt,708
measures,698
local,695
month,693
him,692
detention,691
real,690
love,690
effective,690
01,688
third,688
johnson,687
yesterday,686
national,685
believe,685
least,684
fight,682
including,682
symptoms,682
save,679
pm,679
early,675
important,675
anyone,674
treatment,671
thank,670
video,668
show,666
md,666
secretary,666
quarantine,665
president,665
taking,665
political,663
put,658
friday,656
gt,652
watch,650
weeks,647
county,644
active,643
amid,642
start,641
shot,640
israel,637
13,636
co,633
call,631
control,630
post,629
between,628
fuck,625
ever,623
less,623
own,622
change,619
adults,619
low,617
story,617
crisis,616
hit,616
impact,615
few,614
sure,614
information,613
updates,612
patent,612
isn,610
protect,609
holder,609
others,605
japan,604
dead,603
40,603
face,603
lied,603
person,600
both,595
die,595
records,594
crore,593
conjunction,592
article,592
students,592
pilgrims,590
pirbright,587
covid19nsw,584
according,584
each,584
employees,584
shit,583
hands,581
fact,581
greater,579
situation,578
absolutely,575
past,575
nearly,575
issues,572
centre,571
having,570
current,567
spreading,565
oh,564
always,563
workers,560
healthcare,560
school,556
moderna,556
nothing,555
office,555
something,554
central,552
yes,552
wide,551
increase,551
wrong,550
ivermectin,550
drug,549
fda,549
education,548
soon,547
vanderbilt,547
flu,546
99,546
point,543
market,543
might,543
visit,543
possible,543
old,542
told,541
bus,541
auspol,540
needs,538
god,538
japanese,536
party,534
nhs,534
warning,532
likely,531
club,529
american,528
cause,527
walk,526
resigns,525
2019,524
almost,522
14,521
shows,520
immunity,519
food,518
three,517
young,517
used,516
effects,516
system,516
whole,516
highest,515
recorded,513
level,513
someone,512
lost,512
sick,512
place,511
given,511
london,511
weekend,510
officials,508
decision,507
lot,507
sars,507
things,506
cws,504
book,502
half,502
americans,502
guys,500
fucking,497
within,496
russia,495
job,495
nation,493
tell,493
500,493
17,492
surge,490
making,490
received,490
following,488
despite,487
season,487
evidence,487
contact,487
experts,484
mrna,483
link,482
ncaacws,481
charity,480
vandy,479
police,478
60,478
side,478
covid_19,478
based,478
related,478
epidemic,477
makes,476
31,474
youtube,474
music,473
called,472
80,470
doctors,469
remember,468
run,468
seen,466
using,466
wearing,466
hospitals,466
everything,463
america,462
delhi,462
clearly,461
actually,458
recovery,457
order,457
fans,456
lockdowns,455
north,455
wow,454
info,451
economy,451
23,451
covaxin,450
anti,448
rothschilds,448
1st,447
fear,447
2nd,447
app,447
played,446
rare,446
dangerous,445
biden,445
freedom,444
boris,444
stupid,442
fake,440
oxygen,440
chance,440
distancing,438
citizens,438
online,438
group,437
athletes,436
needed,435
late,435
normal,434
yourself,434
vax,432
learn,431
indian,431
absolute,431
united,431
londonprotest,431
lakh,430
thread,428
record,428
dying,427
true,426
informed,425
ministry,424
able,423
bullshit,423
severe,421
staff,421
become,421
details,421
england,419
families,418
set,417
saying,417
inflammation,417
scientists,416
politics,416
wait,415
highly,414
march,414
ontario,414
toll,413
16,413
schools,412
announced,411
worst,411
however,411
worse,410
rates,410
women,409
seems,409
