date,ocurrences
2020-03-01,13096
2020-03-02,18425
2020-03-03,17156
2020-03-04,22568
2020-03-05,30427
2020-03-06,36824
2020-03-07,18974
2020-03-08,31923
2020-03-09,36247
2020-03-10,32567
2020-03-11,33847
2020-03-12,39289
2020-03-13,62278
2020-03-14,55736
2020-03-15,59042
2020-03-16,66236
2020-03-17,66311
2020-03-18,67652
2020-03-19,65935
2020-03-20,67288
2020-03-21,63872
2020-03-22,61446
2020-03-23,66642
2020-03-24,66828
2020-03-25,64982
2020-03-26,69946
2020-03-27,71202
2020-03-28,62566
2020-03-29,68410
2020-03-30,66754
2020-03-31,68390
2020-04-01,75972
2020-04-02,73426
2020-04-03,71843
2020-04-04,67518
2020-04-05,70728
2020-04-06,72341
2020-04-07,70944
2020-04-08,73609
2020-04-09,68160
2020-04-10,70013
2020-04-11,64402
2020-04-12,71965
2020-04-13,76068
2020-04-14,77602
2020-04-15,76095
2020-04-16,77020
2020-04-17,70515
2020-04-18,67216
2020-04-19,72902
2020-04-20,78305
2020-04-21,75606
2020-04-22,78032
2020-04-23,82654
2020-04-24,78660
2020-04-25,68684
2020-04-26,67906
2020-04-27,77937
2020-04-28,82616
2020-04-29,83013
2020-04-30,78479
2020-05-01,56022
2020-05-02,60430
2020-05-03,67994
2020-05-04,75056
2020-05-05,78484
2020-05-06,82876
2020-05-07,82320
2020-05-08,76774
2020-05-09,70459
2020-05-10,71174
2020-05-11,76106
2020-05-12,68289
2020-05-13,69333
2020-05-14,79243
2020-05-15,75375
2020-05-16,65414
2020-05-17,66268
2020-05-18,65748
2020-05-19,76064
2020-05-20,76222
2020-05-21,73003
2020-05-22,66987
2020-05-23,64798
2020-05-24,62741
2020-05-25,64562
2020-05-26,69856
2020-05-27,70113
2020-05-28,67031
2020-05-29,69228
2020-05-30,58684
2020-05-31,57024
2020-06-01,57687
2020-06-02,59402
2020-06-03,60334
2020-06-04,56794
2020-06-05,54319
2020-06-06,47181
2020-06-07,44617
2020-06-08,49102
2020-06-09,47497
2020-06-10,55115
2020-06-11,59145
2020-06-12,57549
2020-06-13,41651
2020-06-14,41824
2020-06-15,56512
2020-06-16,60991
2020-06-17,61029
2020-06-18,62793
2020-06-19,58691
2020-06-20,52596
2020-06-21,53448
2020-06-22,57233
2020-06-23,67185
2020-06-24,60836
2020-06-25,72596
2020-06-26,73699
2020-06-27,61195
2020-06-28,53821
2020-06-29,63231
2020-06-30,63183
2020-07-01,71714
2020-07-02,74161
2020-07-03,66338
2020-07-04,56881
2020-07-05,65060
2020-07-06,66333
2020-07-07,69713
2020-07-08,70086
2020-07-09,60784
2020-07-10,64282
2020-07-11,47646
2020-07-12,58358
2020-07-13,70940
2020-07-14,72040
2020-07-15,68483
2020-07-16,72081
2020-07-17,61903
2020-07-18,49613
2020-07-19,51658
2020-07-20,57640
2020-07-21,63200
2020-07-22,58604
2020-07-23,55664
2020-07-24,50775
2020-07-25,45636
2020-07-26,41246
2020-07-27,58047
2020-07-28,57005
2020-07-29,64804
2020-07-30,65567
2020-07-31,57221
2020-08-01,44860
2020-08-02,47180
2020-08-03,55477
2020-08-04,57457
2020-08-05,50175
2020-08-06,51902
2020-08-07,48241
2020-08-08,38173
2020-08-09,39366
2020-08-10,47204
2020-08-11,48308
2020-08-12,47861
2020-08-13,51178
2020-08-14,41073
2020-08-15,30100
2020-08-16,32515
2020-08-17,43442
2020-08-18,45663
2020-08-19,40632
2020-08-20,33501
2020-08-21,35890
2020-08-22,30347
2020-08-23,37327
2020-08-24,39630
2020-08-25,39350
2020-08-26,38002
2020-08-27,40711
2020-08-28,37319
2020-08-29,29929
2020-08-30,35831
2020-08-31,41246
2020-09-01,36117
2020-09-02,45510
2020-09-03,44118
2020-09-04,33745
2020-09-05,24614
2020-09-06,25981
2020-09-07,36502
2020-09-08,47601
2020-09-09,68097
2020-09-10,69046
2020-09-11,44519
2020-09-12,31629
2020-09-13,36917
2020-09-14,43439
2020-09-15,35029
2020-09-16,41498
2020-09-17,48409
2020-09-18,42000
2020-09-19,24429
2020-09-20,27258
2020-09-21,40626
2020-09-22,49955
2020-09-23,45176
2020-09-24,38979
2020-09-25,28679
2020-09-26,28522
2020-09-27,22750
2020-09-28,33485
2020-09-29,39711
2020-09-30,31239
2020-10-01,37368
2020-10-02,80658
2020-10-03,60757
2020-10-04,55994
2020-10-05,85890
2020-10-06,86785
2020-10-07,62654
2020-10-08,50133
2020-10-09,47109
2020-10-10,43910
2020-10-11,34982
2020-10-12,44382
2020-10-13,41088
2020-10-14,41343
2020-10-15,34759
2020-10-16,29641
2020-10-17,29313
2020-10-18,30238
2020-10-19,40896
2020-10-20,36584
2020-10-21,39835
2020-10-22,46922
2020-10-23,39776
2020-10-24,39412
2020-10-25,44774
2020-10-26,44537
2020-10-27,43002
2020-10-28,48785
2020-10-29,45820
2020-10-30,51088
2020-10-31,41570
2020-11-01,38780
2020-11-02,40174
2020-11-03,31063
2020-11-04,29662
2020-11-05,33968
2020-11-06,32282
2020-11-07,31853
2020-11-08,23383
2020-11-09,43120
2020-11-10,39330
2020-11-11,41004
2020-11-12,55812
2020-11-13,55255
2020-11-14,35656
2020-11-15,41644
2020-11-16,50107
2020-11-17,47307
2020-11-18,51650
2020-11-19,49771
2020-11-20,46190
2020-11-21,36571
2020-11-22,35822
2020-11-23,39879
2020-11-24,39100
2020-11-25,41298
2020-11-26,29423
2020-11-27,27000
2020-11-28,24142
2020-11-29,25410
2020-11-30,35853
2020-12-01,35937
2020-12-02,35088
2020-12-03,40697
2020-12-04,35522
2020-12-05,29355
2020-12-06,31972
2020-12-07,43527
2020-12-08,45398
2020-12-09,38503
2020-12-10,39956
2020-12-11,32888
2020-12-12,25570
2020-12-13,24680
2020-12-14,33716
2020-12-15,32410
2020-12-16,37772
2020-12-17,39587
2020-12-18,37304
2020-12-19,34955
2020-12-20,36731
2020-12-21,47908
2020-12-22,42305
2020-12-23,34908
2020-12-24,23927
2020-12-25,14005
2020-12-26,22421
2020-12-27,29089
2020-12-28,32698
2020-12-29,43645
2020-12-30,49517
2020-12-31,32609
2021-01-01,28709
2021-01-02,28375
2021-01-03,28133
2021-01-04,37086
2021-01-05,36166
2021-01-06,30204
2021-01-07,26634
2021-01-08,30865
2021-01-09,20165
2021-01-10,20264
2021-01-11,29069
2021-01-12,36140
2021-01-13,28265
2021-01-14,27952
2021-01-15,30791
2021-01-16,21808
2021-01-17,19236
2021-01-18,25150
2021-01-19,28751
2021-01-20,23042
2021-01-21,31426
2021-01-22,27970
2021-01-23,20098
2021-01-24,22006
2021-01-25,26252
2021-01-26,29548
2021-01-27,28832
2021-01-28,27880
2021-01-29,24698
2021-01-30,19892
2021-01-31,19780
2021-02-01,22287
2021-02-02,25044
2021-02-03,24008
2021-02-04,20797
2021-02-05,19547
2021-02-06,15094
2021-02-07,14909
2021-02-08,18863
2021-02-09,20447
2021-02-10,20691
2021-02-11,23661
2021-02-12,19288
2021-02-13,16527
2021-02-14,14143
2021-02-15,17869
2021-02-16,18803
2021-02-17,20559
2021-02-18,17436
2021-02-19,17412
2021-02-20,13040
2021-02-21,15035
2021-02-22,20493
2021-02-23,20524
2021-02-24,20502
2021-02-25,20941
2021-02-26,20276
2021-02-27,15417
2021-02-28,13921
2021-03-01,17727
2021-03-02,31265
